x,y,z,yaw
3.0,12.08,2.0,1.5707963267948966
3.0,12.16,2.0,1.5707963267948966
3.0,12.24,2.0,1.5707963267948966
3.0,12.32,2.0,1.5707963267948966
3.0,12.4,2.0,1.5707963267948966
3.0,12.48,2.0,1.5707963267948966
3.0,12.56,2.0,1.5707963267948966
3.0,12.64,2.0,1.5707963267948966
3.0,12.719999999999999,2.0,1.5707963267948966
3.0,12.8,2.0,1.5707963267948966
3.0,12.879999999999999,2.0,1.5707963267948966
3.0,12.96,2.0,1.5707963267948966
3.0,13.04,2.0,1.5707963267948966
3.0,13.120000000000001,2.0,1.5707963267948966
3.0,13.2,2.0,1.5707963267948966
3.0,13.280000000000001,2.0,1.5707963267948966
3.0,13.36,2.0,1.5707963267948966
3.0,13.440000000000001,2.0,1.5707963267948966
3.0,13.52,2.0,1.5707963267948966
3.0,13.600000000000001,2.0,1.5707963267948966
3.0,13.68,2.0,1.5707963267948966
3.0,13.76,2.0,1.5707963267948966
3.0,13.84,2.0,1.5707963267948966
3.0,13.92,2.0,1.5707963267948966
3.0,14.0,2.0,1.5707963267948966
3.0,14.08,2.0,1.5707963267948966
3.0,14.16,2.0,1.5707963267948966
3.0,14.24,2.0,1.5707963267948966
3.0,14.32,2.0,1.5707963267948966
3.0,14.4,2.0,1.5707963267948966
3.0,14.48,2.0,1.5707963267948966
3.0,14.56,2.0,1.5707963267948966
3.0,14.64,2.0,1.5707963267948966
3.0,14.72,2.0,1.5707963267948966
3.0,14.8,2.0,1.5707963267948966
3.0,14.88,2.0,1.5707963267948966
3.0,14.96,2.0,1.5707963267948966
3.0,15.040000000000001,2.0,1.5707963267948966
3.0,15.120000000000001,2.0,1.5707963267948966
3.0,15.200000000000001,2.0,1.5707963267948966
3.0,15.28,2.0,1.5707963267948966
3.0,15.36,2.0,1.5707963267948966
3.0,15.44,2.0,1.5707963267948966
3.0,15.52,2.0,1.5707963267948966
3.0,15.6,2.0,1.5707963267948966
3.0,15.68,2.0,1.5707963267948966
3.0,15.76,2.0,1.5707963267948966
3.0,15.84,2.0,1.5707963267948966
3.0,15.92,2.0,1.5707963267948966
3.0,16.0,2.0,1.5707963267948966
3.0,16.08,2.0,1.5707963267948966
3.0,16.16,2.0,1.5707963267948966
3.0,16.240000000000002,2.0,1.5707963267948966
3.0,16.32,2.0,1.5707963267948966
3.0,16.4,2.0,1.5707963267948966
3.0,16.48,2.0,1.5707963267948966
3.0,16.560000000000002,2.0,1.5707963267948966
3.0,16.64,2.0,1.5707963267948966
3.0,16.72,2.0,1.5707963267948966
3.0,16.8,2.0,1.5707963267948966
3.0,16.880000000000003,2.0,1.5707963267948966
3.0,16.96,2.0,1.5707963267948966
3.0,17.04,2.0,1.5707963267948966
3.0,17.12,2.0,1.5707963267948966
3.0,17.200000000000003,2.0,1.5707963267948966
3.0,17.28,2.0,1.5707963267948966
3.0,17.36,2.0,1.5707963267948966
3.0,17.439999999999998,2.0,1.5707963267948966
3.0,17.52,2.0,1.5707963267948966
3.0,17.6,2.0,1.5707963267948966
3.0,17.68,2.0,1.5707963267948966
3.0,17.759999999999998,2.0,1.5707963267948966
3.0,17.84,2.0,1.5707963267948966
3.0,17.92,2.0,1.5707963267948966
3.0,18.0,2.0,1.5707963267948966
3.0,18.08,2.0,1.5707963267948966
3.0,18.16,2.0,1.5707963267948966
3.0,18.240000000000002,2.0,1.5707963267948966
3.0,18.32,2.0,1.5707963267948966
3.0,18.4,2.0,1.5707963267948966
3.0,18.48,2.0,1.5707963267948966
3.0,18.560000000000002,2.0,1.5707963267948966
3.0,18.64,2.0,1.5707963267948966
3.0,18.72,2.0,1.5707963267948966
3.0,18.8,2.0,1.5707963267948966
3.0,18.880000000000003,2.0,1.5707963267948966
3.0,18.96,2.0,1.5707963267948966
3.0,19.04,2.0,1.5707963267948966
3.0,19.12,2.0,1.5707963267948966
3.0,19.200000000000003,2.0,1.5707963267948966
3.0,19.28,2.0,1.5707963267948966
